00001F	01001F	02001F	03001F	04001F	05001F	06001F	07001F
38101F	39101F	3A101F	3B101F	3C101F	3D101F	3E101F	3F101F
10001F	11001F	12001F	13001F	14001F	15001F	16001F	17001F
20001F	21001F	22001F	23001F	24001F	25001F	26001F	27001F
08001F	09001F	0A001F	0B001F	0C001F	0D001F	0E001F	0F001F
38001F	39001F	3A001F	3B001F	3C001F	3D001F	3E001F	3F001F
28001F	29001F	2A001F	2B001F	2C001F	2D001F	2E001F	2F001F
30001F	31001F	32001F	33001F	34001F	35001F	36001F	37001F
18001F	19001F	1A001F	1B001F	1C001F	1D001F	1E001F	1F001F
08101F	09101F	0A101F	0B101F	0C101F	0D101F	0E101F	0F101F
30101F	31101F	32101F	33101F	34101F	35101F	36101F	37101F
00101F	01101F	02101F	03101F	04101F	05101F	06101F	07101F
10101F	11101F	12101F	13101F	14101F	15101F	16101F	17101F
28101F	29101F	2A101F	2B101F	2C101F	2D101F	2E101F	2F101F
18101F	19101F	1A101F	1B101F	1C101F	1D101F	1E101F	1F101F
20101F	21101F	22101F	23101F	24101F	25101F	26101F	27101F

LEFT AFTER 1020S
		
							
10001F						16001F	17001F
							
							
							
							
			33001F				
	19001F				1D001F		
					0D101F		
			33101F	34101F			
					05101F		
		12101F				16101F	
		2A101F					2F101F
							
	21101F						
