000000	010000	020000	030000	040000	050000	060000	070000
381000	391000	3A1000	3B1000	3C1000	3D1000	3E1000	3F1000
100000	110000	120000	130000	140000	150000	160000	170000
200000	210000	220000	230000	240000	250000	260000	270000
080000	090000	0A0000	0B0000	0C0000	0D0000	0E0000	0F0000
380000	390000	3A0000	3B0000	3C0000	3D0000	3E0000	3F0000
280000	290000	2A0000	2B0000	2C0000	2D0000	2E0000	2F0000
300000	310000	320000	330000	340000	350000	360000	370000
180000	190000	1A0000	1B0000	1C0000	1D0000	1E0000	1F0000
081000	091000	0A1000	0B1000	0C1000	0D1000	0E1000	0F1000
301000	311000	321000	331000	341000	351000	361000	371000
001000	011000	021000	031000	041000	051000	061000	071000
101000	111000	121000	131000	141000	151000	161000	171000
281000	291000	2A1000	2B1000	2C1000	2D1000	2E1000	2F1000
181000	191000	1A1000	1B1000	1C1000	1D1000	1E1000	1F1000
201000	211000	221000	231000	241000	251000	261000	271000

LEFT AFTER 110 SEC
							
							
							
							
							
							
						
							
							
							
							
							
							
						
