002000	012000	022000	032000	042000	052000	062000	072000
082000	092000	0A2000	0B2000	0C2000	0D2000	0E2000	0F2000
102000	112000	122000	132000	142000	152000	162000	172000
182000	192000	1A2000	1B2000	1C2000	1D2000	1E2000	1F2000
202000	212000	222000	232000	242000	252000	262000	272000
282000	292000	2A2000	2B2000	2C2000	2D2000	2E2000	2F2000
302000	312000	322000	332000	342000	352000	362000	372000
382000	392000	3A2000	3B2000	3C2000	3D2000	3E2000	3F2000
003000	013000	023000	033000	043000	053000	063000	073000
083000	093000	0A3000	0B3000	0C3000	0D3000	0E3000	0F3000
103000	113000	123000	133000	143000	153000	163000	173000
183000	193000	1A3000	1B3000	1C3000	1D3000	1E3000	1F3000
203000	213000	223000	233000	243000	253000	263000	273000
283000	293000	2A3000	2B3000	2C3000	2D3000	2E3000	2F3000
303000	313000	323000	333000	343000	353000	363000	373000
383000	393000	3A3000	3B3000	3C3000	3D3000	3E3000	3F3000
