004000	014000	024000	034000	044000	054000	064000	074000
084000	094000	0A4000	0B4000	0C4000	0D4000	0E4000	0F4000
104000	114000	124000	134000	144000	154000	164000	174000
184000	194000	1A4000	1B4000	1C4000	1D4000	1E4000	1F4000
204000	214000	224000	234000	244000	254000	264000	274000
284000	294000	2A4000	2B4000	2C4000	2D4000	2E4000	2F4000
304000	314000	324000	334000	344000	354000	364000	374000
384000	394000	3A4000	3B4000	3C4000	3D4000	3E4000	3F4000
005000	015000	025000	035000	045000	055000	065000	075000
085000	095000	0A5000	0B5000	0C5000	0D5000	0E5000	0F5000
105000	115000	125000	135000	145000	155000	165000	175000
185000	195000	1A5000	1B5000	1C5000	1D5000	1E5000	1F5000
205000	215000	225000	235000	245000	255000	265000	275000
285000	295000	2A5000	2B5000	2C5000	2D5000	2E5000	2F5000
305000	315000	325000	335000	345000	355000	365000	375000
385000	395000	3A5000	3B5000	3C5000	3D5000	3E5000	3F5000
