00C000	01C000	02C000	03C000	04C000	05C000	06C000	07C000
08C000	09C000	0AC000	0BC000	0CC000	0DC000	0EC000	0FC000
10C000	11C000	12C000	13C000	14C000	15C000	16C000	17C000
18C000	19C000	1AC000	1BC000	1CC000	1DC000	1EC000	1FC000
20C000	21C000	22C000	23C000	24C000	25C000	26C000	27C000
28C000	29C000	2AC000	2BC000	2CC000	2DC000	2EC000	2FC000
30C000	31C000	32C000	33C000	34C000	35C000	36C000	37C000
38C000	39C000	3AC000	3BC000	3CC000	3DC000	3EC000	3FC000
00D000	01D000	02D000	03D000	04D000	05D000	06D000	07D000
08D000	09D000	0AD000	0BD000	0CD000	0DD000	0ED000	0FD000
10D000	11D000	12D000	13D000	14D000	15D000	16D000	17D000
18D000	19D000	1AD000	1BD000	1CD000	1DD000	1ED000	1FD000
20D000	21D000	22D000	23D000	24D000	25D000	26D000	27D000
28D000	29D000	2AD000	2BD000	2CD000	2DD000	2ED000	2FD000
30D000	31D000	32D000	33D000	34D000	35D000	36D000	37D000
38D000	39D000	3AD000	3BD000	3CD000	3DD000	3ED000	3FD000
