00E000	01E000	02E000	03E000	04E000	05E000	06E000	07E000
08E000	09E000	0AE000	0BE000	0CE000	0DE000	0EE000	0FE000
10E000	11E000	12E000	13E000	14E000	15E000	16E000	17E000
18E000	19E000	1AE000	1BE000	1CE000	1DE000	1EE000	1FE000
20E000	21E000	22E000	23E000	24E000	25E000	26E000	27E000
28E000	29E000	2AE000	2BE000	2CE000	2DE000	2EE000	2FE000
30E000	31E000	32E000	33E000	34E000	35E000	36E000	37E000
38E000	39E000	3AE000	3BE000	3CE000	3DE000	3EE000	3FE000
00F000	01F000	02F000	03F000	04F000	05F000	06F000	07F000
08F000	09F000	0AF000	0BF000	0CF000	0DF000	0EF000	0FF000
10F000	11F000	12F000	13F000	14F000	15F000	16F000	17F000
18F000	19F000	1AF000	1BF000	1CF000	1DF000	1EF000	1FF000
20F000	21F000	22F000	23F000	24F000	25F000	26F000	27F000
28F000	29F000	2AF000	2BF000	2CF000	2DF000	2EF000	2FF000
30F000	31F000	32F000	33F000	34F000	35F000	36F000	37F000
38F000	39F000	3AF000	3BF000	3CF000	3DF000	3EF000	3FF000
