000000	010000	020000	030000	040000	050000	060000	070000
080000	090000	0A0000	0B0000	0C0000	0D0000	0E0000	0F0000
100000	110000	120000	130000	140000	150000	160000	170000
180000	190000	1A0000	1B0000	1C0000	1D0000	1E0000	1F0000
200000	210000	220000	230000	240000	250000	260000	270000
280000	290000	2A0000	2B0000	2C0000	2D0000	2E0000	2F0000
300000	310000	320000	330000	340000	350000	360000	370000
380000	390000	3A0000	3B0000	3C0000	3D0000	3E0000	3F0000
001000	011000	021000	031000	041000	051000	061000	071000
081000	091000	0A1000	0B1000	0C1000	0D1000	0E1000	0F1000
101000	111000	121000	131000	141000	151000	161000	171000
181000	191000	1A1000	1B1000	1C1000	1D1000	1E1000	1F1000
201000	211000	221000	231000	241000	251000	261000	271000
281000	291000	2A1000	2B1000	2C1000	2D1000	2E1000	2F1000
301000	311000	321000	331000	341000	351000	361000	371000
381000	391000	3A1000	3B1000	3C1000	3D1000	3E1000	3F1000

002000	012000	022000	032000	042000	052000	062000	072000
082000	092000	0A2000	0B2000	0C2000	0D2000	0E2000	0F2000
102000	112000	122000	132000	142000	152000	162000	172000
182000	192000	1A2000	1B2000	1C2000	1D2000	1E2000	1F2000
202000	212000	222000	232000	242000	252000	262000	272000
282000	292000	2A2000	2B2000	2C2000	2D2000	2E2000	2F2000
302000	312000	322000	332000	342000	352000	362000	372000
382000	392000	3A2000	3B2000	3C2000	3D2000	3E2000	3F2000
003000	013000	023000	033000	043000	053000	063000	073000
083000	093000	0A3000	0B3000	0C3000	0D3000	0E3000	0F3000
103000	113000	123000	133000	143000	153000	163000	173000
183000	193000	1A3000	1B3000	1C3000	1D3000	1E3000	1F3000
203000	213000	223000	233000	243000	253000	263000	273000
283000	293000	2A3000	2B3000	2C3000	2D3000	2E3000	2F3000
303000	313000	323000	333000	343000	353000	363000	373000
383000	393000	3A3000	3B3000	3C3000	3D3000	3E3000	3F3000

004000	014000	024000	034000	044000	054000	064000	074000
084000	094000	0A4000	0B4000	0C4000	0D4000	0E4000	0F4000
104000	114000	124000	134000	144000	154000	164000	174000
184000	194000	1A4000	1B4000	1C4000	1D4000	1E4000	1F4000
204000	214000	224000	234000	244000	254000	264000	274000
284000	294000	2A4000	2B4000	2C4000	2D4000	2E4000	2F4000
304000	314000	324000	334000	344000	354000	364000	374000
384000	394000	3A4000	3B4000	3C4000	3D4000	3E4000	3F4000
005000	015000	025000	035000	045000	055000	065000	075000
085000	095000	0A5000	0B5000	0C5000	0D5000	0E5000	0F5000
105000	115000	125000	135000	145000	155000	165000	175000
185000	195000	1A5000	1B5000	1C5000	1D5000	1E5000	1F5000
205000	215000	225000	235000	245000	255000	265000	275000
285000	295000	2A5000	2B5000	2C5000	2D5000	2E5000	2F5000
305000	315000	325000	335000	345000	355000	365000	375000
385000	395000	3A5000	3B5000	3C5000	3D5000	3E5000	3F5000

006000	016000	026000	036000	046000	056000	066000	076000
086000	096000	0A6000	0B6000	0C6000	0D6000	0E6000	0F6000
106000	116000	126000	136000	146000	156000	166000	176000
186000	196000	1A6000	1B6000	1C6000	1D6000	1E6000	1F6000
206000	216000	226000	236000	246000	256000	266000	276000
286000	296000	2A6000	2B6000	2C6000	2D6000	2E6000	2F6000
306000	316000	326000	336000	346000	356000	366000	376000
386000	396000	3A6000	3B6000	3C6000	3D6000	3E6000	3F6000
007000	017000	027000	037000	047000	057000	067000	077000
087000	097000	0A7000	0B7000	0C7000	0D7000	0E7000	0F7000
107000	117000	127000	137000	147000	157000	167000	177000
